ID,OFFER_ID,TYPE,AMOUNT,CREATED_AT,UPDATED_AT
805421,768617,OfferReward::Instant,1,2021-03-24 23:58:30.000,2021-03-24 23:58:30.000
805420,768616,OfferReward::Instant,1,2021-03-24 23:58:30.000,2021-03-24 23:58:30.000
805419,768615,OfferReward::Instant,1,2021-03-24 23:58:30.000,2021-03-24 23:58:30.000
805418,768614,OfferReward::Instant,1,2021-03-24 23:56:29.000,2021-03-24 23:56:29.000
805417,768613,OfferReward::Instant,1,2021-03-24 23:56:29.000,2021-03-24 23:56:29.000
805416,768612,OfferReward::Instant,1,2021-03-24 23:56:29.000,2021-03-24 23:56:29.000
805415,768611,OfferReward::Instant,1,2021-03-24 23:56:20.000,2021-03-24 23:56:20.000
805414,768610,OfferReward::Instant,1,2021-03-24 23:56:20.000,2021-03-24 23:56:20.000
805413,768609,OfferReward::Instant,1,2021-03-24 23:56:19.000,2021-03-24 23:56:19.000
805412,768608,OfferReward::Instant,1,2021-03-24 23:55:14.000,2021-03-24 23:55:14.000
805411,768607,OfferReward::Instant,1,2021-03-24 23:55:13.000,2021-03-24 23:55:13.000
805410,768606,OfferReward::Instant,1,2021-03-24 23:55:13.000,2021-03-24 23:55:13.000
805409,768605,OfferReward::Instant,1,2021-03-24 23:44:20.000,2021-03-24 23:44:20.000
805408,768604,OfferReward::Instant,1,2021-03-24 23:44:20.000,2021-03-24 23:44:20.000
805407,768603,OfferReward::Instant,1,2021-03-24 23:44:19.000,2021-03-24 23:44:19.000
805406,768602,OfferReward::Instant,2,2021-03-24 23:27:59.000,2021-03-24 23:27:59.000
805405,768601,OfferReward::Instant,2,2021-03-24 23:27:59.000,2021-03-24 23:27:59.000
805404,768600,OfferReward::Instant,2,2021-03-24 23:27:58.000,2021-03-24 23:27:58.000
805403,768599,OfferReward::Instant,2,2021-03-24 23:27:58.000,2021-03-24 23:27:58.000
805402,768598,OfferReward::Instant,1.5,2021-03-24 23:23:08.000,2021-03-24 23:23:08.000
805401,768597,OfferReward::Instant,1.5,2021-03-24 23:23:08.000,2021-03-24 23:23:08.000
805400,768596,OfferReward::Instant,1.5,2021-03-24 23:23:08.000,2021-03-24 23:23:08.000
805399,768595,OfferReward::Instant,1.5,2021-03-24 23:23:07.000,2021-03-24 23:23:07.000
805398,768594,OfferReward::Instant,1,2021-03-24 23:18:29.000,2021-03-24 23:18:29.000
805397,768593,OfferReward::Instant,1,2021-03-24 23:18:28.000,2021-03-24 23:18:28.000
805396,768592,OfferReward::Instant,1,2021-03-24 23:18:28.000,2021-03-24 23:18:28.000
805395,768591,OfferReward::Fact,4,2021-03-24 22:52:36.000,2021-03-24 22:52:36.000
805394,768590,OfferReward::Fact,4,2021-03-24 22:52:33.000,2021-03-24 22:52:33.000
805393,768589,OfferReward::Fact,4,2021-03-24 22:52:30.000,2021-03-24 22:52:30.000
805392,768588,OfferReward::Fact,4,2021-03-24 22:48:19.000,2021-03-24 22:48:19.000
805391,768587,OfferReward::Fact,4,2021-03-24 22:48:16.000,2021-03-24 22:48:16.000
805390,768586,OfferReward::Fact,4,2021-03-24 22:48:14.000,2021-03-24 22:48:14.000
805389,768585,OfferReward::Instant,3,2021-03-24 22:48:11.000,2021-03-24 22:48:11.000
805388,768584,OfferReward::Instant,3,2021-03-24 22:45:32.000,2021-03-24 22:45:32.000
805386,768583,OfferReward::Fact,4,2021-03-24 22:41:39.000,2021-03-24 22:41:39.000
805387,768582,OfferReward::Fact,4,2021-03-24 22:41:40.000,2021-03-24 22:41:40.000
805385,768581,OfferReward::Fact,4,2021-03-24 22:41:35.000,2021-03-24 22:41:35.000
805384,768580,OfferReward::Fact,4,2021-03-24 22:41:04.000,2021-03-24 22:41:04.000
805383,768579,OfferReward::Fact,4,2021-03-24 22:41:04.000,2021-03-24 22:41:04.000
805382,768578,OfferReward::Fact,4,2021-03-24 22:41:00.000,2021-03-24 22:41:00.000
805381,768577,OfferReward::Fact,4,2021-03-24 22:38:36.000,2021-03-24 22:38:36.000
805380,768576,OfferReward::Fact,4,2021-03-24 22:38:34.000,2021-03-24 22:38:34.000
805379,768575,OfferReward::Fact,4,2021-03-24 22:38:29.000,2021-03-24 22:38:29.000
805378,768574,OfferReward::Fact,4,2021-03-24 22:38:08.000,2021-03-24 22:38:08.000
805377,768573,OfferReward::Fact,4,2021-03-24 22:36:30.000,2021-03-24 22:36:30.000
805376,768572,OfferReward::Fact,4,2021-03-24 22:36:28.000,2021-03-24 22:36:28.000
805375,768571,OfferReward::Fact,4,2021-03-24 22:36:25.000,2021-03-24 22:36:25.000
805374,768570,OfferReward::Fact,4,2021-03-24 22:34:45.000,2021-03-24 22:34:45.000
805373,768569,OfferReward::Fact,2,2021-03-24 22:32:25.000,2021-03-24 22:32:25.000
